dataset,ratio,max_data_num,predict_data_num,metric,method,value,size_constraint
WMT19,8,204800,1638400,PearCorr,AtS,0.9891,7000000000.0
WMT19,8,204800,1638400,RelAcc,AtS,0.9909,7000000000.0
WMT19,8,204800,1638400,PearCorr,ZeroShot,0.0707,7000000000.0
WMT19,8,204800,1638400,RelAcc,ZeroShot,0.8435,7000000000.0
WMT19,8,204800,1638400,PearCorr,SubTuning,0.9352,7000000000.0
WMT19,8,204800,1638400,RelAcc,SubTuning,0.9909,7000000000.0
WMT19,8,204800,1638400,PearCorr,ModelSize,0.3597,7000000000.0
WMT19,8,204800,1638400,RelAcc,ModelSize,0.2246,7000000000.0
WMT19,16,102400,1638400,PearCorr,AtS,0.9705,7000000000.0
WMT19,16,102400,1638400,RelAcc,AtS,0.9909,7000000000.0
WMT19,16,102400,1638400,PearCorr,ZeroShot,0.0707,7000000000.0
WMT19,16,102400,1638400,RelAcc,ZeroShot,0.8435,7000000000.0
WMT19,16,102400,1638400,PearCorr,SubTuning,0.8712,7000000000.0
WMT19,16,102400,1638400,RelAcc,SubTuning,0.9909,7000000000.0
WMT19,16,102400,1638400,PearCorr,ModelSize,0.3597,7000000000.0
WMT19,16,102400,1638400,RelAcc,ModelSize,0.2246,7000000000.0
WMT19,32,51200,1638400,PearCorr,AtS,0.9768,7000000000.0
WMT19,32,51200,1638400,RelAcc,AtS,0.9962,7000000000.0
WMT19,32,51200,1638400,PearCorr,ZeroShot,0.0707,7000000000.0
WMT19,32,51200,1638400,RelAcc,ZeroShot,0.8435,7000000000.0
WMT19,32,51200,1638400,PearCorr,SubTuning,0.7767,7000000000.0
WMT19,32,51200,1638400,RelAcc,SubTuning,0.9909,7000000000.0
WMT19,32,51200,1638400,PearCorr,ModelSize,0.3597,7000000000.0
WMT19,32,51200,1638400,RelAcc,ModelSize,0.2246,7000000000.0
WMT19,64,25600,1638400,PearCorr,AtS,0.8596,7000000000.0
WMT19,64,25600,1638400,RelAcc,AtS,0.9909,7000000000.0
WMT19,64,25600,1638400,PearCorr,ZeroShot,0.0707,7000000000.0
WMT19,64,25600,1638400,RelAcc,ZeroShot,0.8435,7000000000.0
WMT19,64,25600,1638400,PearCorr,SubTuning,0.645,7000000000.0
WMT19,64,25600,1638400,RelAcc,SubTuning,0.9909,7000000000.0
WMT19,64,25600,1638400,PearCorr,ModelSize,0.3597,7000000000.0
WMT19,64,25600,1638400,RelAcc,ModelSize,0.2246,7000000000.0
WMT19,128,12800,1638400,PearCorr,AtS,0.7802,7000000000.0
WMT19,128,12800,1638400,RelAcc,AtS,0.9909,7000000000.0
WMT19,128,12800,1638400,PearCorr,ZeroShot,0.0707,7000000000.0
WMT19,128,12800,1638400,RelAcc,ZeroShot,0.8435,7000000000.0
WMT19,128,12800,1638400,PearCorr,SubTuning,0.5173,7000000000.0
WMT19,128,12800,1638400,RelAcc,SubTuning,0.9909,7000000000.0
WMT19,128,12800,1638400,PearCorr,ModelSize,0.3597,7000000000.0
WMT19,128,12800,1638400,RelAcc,ModelSize,0.2246,7000000000.0
WMT19,256,6400,1638400,PearCorr,AtS,0.7339,7000000000.0
WMT19,256,6400,1638400,RelAcc,AtS,0.9909,7000000000.0
WMT19,256,6400,1638400,PearCorr,ZeroShot,0.0707,7000000000.0
WMT19,256,6400,1638400,RelAcc,ZeroShot,0.8435,7000000000.0
WMT19,256,6400,1638400,PearCorr,SubTuning,0.4159,7000000000.0
WMT19,256,6400,1638400,RelAcc,SubTuning,0.9909,7000000000.0
WMT19,256,6400,1638400,PearCorr,ModelSize,0.3597,7000000000.0
WMT19,256,6400,1638400,RelAcc,ModelSize,0.2246,7000000000.0
WMT19,512,3200,1638400,PearCorr,AtS,0.6145,7000000000.0
WMT19,512,3200,1638400,RelAcc,AtS,0.9909,7000000000.0
WMT19,512,3200,1638400,PearCorr,ZeroShot,0.0707,7000000000.0
WMT19,512,3200,1638400,RelAcc,ZeroShot,0.8435,7000000000.0
WMT19,512,3200,1638400,PearCorr,SubTuning,0.3446,7000000000.0
WMT19,512,3200,1638400,RelAcc,SubTuning,0.9909,7000000000.0
WMT19,512,3200,1638400,PearCorr,ModelSize,0.3597,7000000000.0
WMT19,512,3200,1638400,RelAcc,ModelSize,0.2246,7000000000.0
GIGAWORD,8,204800,1638400,PearCorr,AtS,0.9892,7000000000.0
GIGAWORD,8,204800,1638400,RelAcc,AtS,1.0,7000000000.0
GIGAWORD,8,204800,1638400,PearCorr,ZeroShot,-0.492,7000000000.0
GIGAWORD,8,204800,1638400,RelAcc,ZeroShot,0.7126,7000000000.0
GIGAWORD,8,204800,1638400,PearCorr,SubTuning,0.9323,7000000000.0
GIGAWORD,8,204800,1638400,RelAcc,SubTuning,0.8764,7000000000.0
GIGAWORD,8,204800,1638400,PearCorr,ModelSize,-0.2445,7000000000.0
GIGAWORD,8,204800,1638400,RelAcc,ModelSize,0.7126,7000000000.0
GIGAWORD,16,102400,1638400,PearCorr,AtS,0.9759,7000000000.0
GIGAWORD,16,102400,1638400,RelAcc,AtS,0.9139,7000000000.0
GIGAWORD,16,102400,1638400,PearCorr,ZeroShot,-0.492,7000000000.0
GIGAWORD,16,102400,1638400,RelAcc,ZeroShot,0.7126,7000000000.0
GIGAWORD,16,102400,1638400,PearCorr,SubTuning,0.8932,7000000000.0
GIGAWORD,16,102400,1638400,RelAcc,SubTuning,0.8764,7000000000.0
GIGAWORD,16,102400,1638400,PearCorr,ModelSize,-0.2445,7000000000.0
GIGAWORD,16,102400,1638400,RelAcc,ModelSize,0.7126,7000000000.0
GIGAWORD,32,51200,1638400,PearCorr,AtS,0.9691,7000000000.0
GIGAWORD,32,51200,1638400,RelAcc,AtS,0.9433,7000000000.0
GIGAWORD,32,51200,1638400,PearCorr,ZeroShot,-0.492,7000000000.0
