dataset,ratio,max_data_num,predict_data_num,k,delta,metric,value
FLAN,8,204800,1638400,3,1,PearCorr,0.945
FLAN,16,102400,1638400,3,1,PearCorr,0.8413
FLAN,32,51200,1638400,3,1,PearCorr,0.7422
FLAN,64,25600,1638400,3,1,PearCorr,0.6104
FLAN,128,12800,1638400,3,1,PearCorr,0.5654
FLAN,256,6400,1638400,3,1,PearCorr,0.4957
FLAN,512,3200,1638400,3,1,PearCorr,0.4559
FLAN,8,204800,1638400,3,2,PearCorr,0.9448
FLAN,16,102400,1638400,3,2,PearCorr,0.8382
FLAN,32,51200,1638400,3,2,PearCorr,0.7394
FLAN,64,25600,1638400,3,2,PearCorr,0.6077
FLAN,128,12800,1638400,3,2,PearCorr,0.5662
FLAN,256,6400,1638400,3,2,PearCorr,0.4977
FLAN,512,3200,1638400,3,2,PearCorr,0.4543
FLAN,8,204800,1638400,3,3,PearCorr,0.93
FLAN,16,102400,1638400,3,3,PearCorr,0.8187
FLAN,32,51200,1638400,3,3,PearCorr,0.7345
FLAN,64,25600,1638400,3,3,PearCorr,0.6239
FLAN,128,12800,1638400,3,3,PearCorr,0.5468
FLAN,256,6400,1638400,3,3,PearCorr,0.4973
FLAN,512,3200,1638400,3,3,PearCorr,0.4552
FLAN,8,204800,1638400,3,4,PearCorr,0.909
FLAN,16,102400,1638400,3,4,PearCorr,0.8177
FLAN,32,51200,1638400,3,4,PearCorr,0.6816
FLAN,64,25600,1638400,3,4,PearCorr,0.6181
FLAN,128,12800,1638400,3,4,PearCorr,0.549
FLAN,256,6400,1638400,3,4,PearCorr,0.5056
FLAN,512,3200,1638400,3,4,PearCorr,0.4556
FLAN,8,204800,1638400,3,5,PearCorr,0.9087
FLAN,16,102400,1638400,3,5,PearCorr,0.7312
FLAN,32,51200,1638400,3,5,PearCorr,0.6553
FLAN,64,25600,1638400,3,5,PearCorr,0.6113
FLAN,128,12800,1638400,3,5,PearCorr,0.5218
FLAN,256,6400,1638400,3,5,PearCorr,0.5054
FLAN,512,3200,1638400,3,5,PearCorr,0.4556
FLAN,8,204800,1638400,4,1,PearCorr,0.914
FLAN,16,102400,1638400,4,1,PearCorr,0.8088
FLAN,32,51200,1638400,4,1,PearCorr,0.6949
FLAN,64,25600,1638400,4,1,PearCorr,0.6075
FLAN,128,12800,1638400,4,1,PearCorr,0.5372
FLAN,256,6400,1638400,4,1,PearCorr,0.4883
FLAN,512,3200,1638400,4,1,PearCorr,0.4221
FLAN,8,204800,1638400,4,2,PearCorr,0.914
FLAN,16,102400,1638400,4,2,PearCorr,0.8067
FLAN,32,51200,1638400,4,2,PearCorr,0.6908
FLAN,64,25600,1638400,4,2,PearCorr,0.6127
FLAN,128,12800,1638400,4,2,PearCorr,0.5356
FLAN,256,6400,1638400,4,2,PearCorr,0.4859
FLAN,512,3200,1638400,4,2,PearCorr,0.4221
FLAN,8,204800,1638400,4,3,PearCorr,0.8971
FLAN,16,102400,1638400,4,3,PearCorr,0.7895
FLAN,32,51200,1638400,4,3,PearCorr,0.6789
FLAN,64,25600,1638400,4,3,PearCorr,0.6084
FLAN,128,12800,1638400,4,3,PearCorr,0.5239
FLAN,256,6400,1638400,4,3,PearCorr,0.4858
FLAN,512,3200,1638400,4,3,PearCorr,0.4221
FLAN,8,204800,1638400,4,4,PearCorr,0.8461
FLAN,16,102400,1638400,4,4,PearCorr,0.6899
FLAN,32,51200,1638400,4,4,PearCorr,0.627
FLAN,64,25600,1638400,4,4,PearCorr,0.5609
FLAN,128,12800,1638400,4,4,PearCorr,0.5212
FLAN,256,6400,1638400,4,4,PearCorr,0.4868
FLAN,512,3200,1638400,4,4,PearCorr,0.4221
FLAN,8,204800,1638400,4,5,PearCorr,0.7945
FLAN,16,102400,1638400,4,5,PearCorr,0.6169
FLAN,32,51200,1638400,4,5,PearCorr,0.5826
FLAN,64,25600,1638400,4,5,PearCorr,0.5531
FLAN,128,12800,1638400,4,5,PearCorr,0.5089
FLAN,256,6400,1638400,4,5,PearCorr,0.4867
FLAN,512,3200,1638400,4,5,PearCorr,0.4221
FLAN,8,204800,1638400,5,1,PearCorr,0.8844
FLAN,16,102400,1638400,5,1,PearCorr,0.7699
FLAN,32,51200,1638400,5,1,PearCorr,0.6718
FLAN,64,25600,1638400,5,1,PearCorr,0.5783
FLAN,128,12800,1638400,5,1,PearCorr,0.5212
FLAN,256,6400,1638400,5,1,PearCorr,0.461
FLAN,512,3200,1638400,5,1,PearCorr,0.3784
FLAN,8,204800,1638400,5,2,PearCorr,0.884
